adresse;clics_12m;titre_yoast;titre_pour_sanity;description_seo;description_og;canonique;robots
/actualites/animation-3d-produit-hitachi-csnet-manager/;1;Animation 3D produit HITACHI CSNet manager - Bluevista;Animation 3D produit HITACHI CSNet manager;Vidéo produite en 3D pour le service instalé par HITACHI : le CSNet Manager ! Regardez la vidéo de 2m30 et comprenez en un clin d’œil.;Vidéo produite en 3D pour le service instalé par HITACHI : le CSNet Manager ! Regardez la vidéo de 2m30 et comprenez en un clin d’œil.;https://www.bluevistaprod.com/actualites/animation-3d-produit-hitachi-csnet-manager/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/mase-4-motions/;1;MASE Rhône Alpes : Motions - Bluevista;MASE Rhône Alpes : Motions;Vidéos en motion design pour MASE Rhône-Alpes : 4 vidéos pour expliquer et prévenir les risques et accidents du secteur métallurgique.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/mase-4-motions/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/mapping-printemps-lyon/;1;Mapping Printemps Lyon : Changement de marque - Bluevista;Mapping Printemps Lyon : Changement de marque;Bluevista et le Printemps collaborent pour un mapping vidéo : découvrez comment un bâtiment peut se transformer par le vidéo mapping !;Bluevista et le Printemps collaborent pour un mapping vidéo : découvrez comment un bâtiment peut se transformer par le vidéo mapping !;https://www.bluevistaprod.com/actualites/mapping-printemps-lyon/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;1;Inauguration InterContinental Lyon - Grand Hôtel-Dieu - Bluevista;Inauguration InterContinental Lyon - Grand Hôtel-Dieu;Voyez comment l'Hôtel-Dieu de Lyon a été transformé en show lumière grâce à notre reportage vidéo sur la soirée d'inauguration.;Voyez comment l'Hôtel-Dieu de Lyon a été transformé en show lumière grâce à notre reportage vidéo sur la soirée d'inauguration.;https://www.bluevistaprod.com/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/vercors-les-chemins-de-la-liberte/;1;VERCORS : LES CHEMINS DE LA LIBERTE - Bluevista;VERCORS : LES CHEMINS DE LA LIBERTE;Explorez les Chemins de la Liberté du Parc Naturel Régional du Vercors et découvrez les lieux de mémoire de la Résistance Française.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/vercors-les-chemins-de-la-liberte/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/bluevista-video-showreel-2021/;1;Bluevista vidéo Showreel 2021 - Bluevista;Bluevista vidéo Showreel 2021;Le Showreel 2021 de Bluevista : explorez le meilleur de nos réalisations vidéo en motion design, réalité virtuelle, drone...;Le Showreel 2021 de Bluevista : explorez le meilleur de nos réalisations vidéo en motion design, réalité virtuelle, drone...;https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2021/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/santos-i-grind/;1;SANTOS I-GRIND : Le Moulin à Café - Bluevista;SANTOS I-GRIND : Le Moulin à Café;Découvrez le moulin à café I-GRIND de Santos, le dernier ajout à la gamme ! Réalisées en animation 3D dans 2 nouvelles vidéo de Bluevista.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/santos-i-grind/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/blueverse/;1;Le Métaverse bluevista : le blueverse - Bluevista;Le Métaverse bluevista : le blueverse;Découvrez le metaverse et l'essor de l'internet 3.0 avec le blueverse. Toute bluevista dans un contenu 3D exceptionnelle !;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/blueverse/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/stann/;0;STANN. - Bluevista;STANN.;Découvrez comment le logiciel STANN App simplifie le quotidien des entrepreneurs avec Bluevista. Tourné en une journée à Grenoble.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/stann/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/aravi-saison-2022-2023/;0;ARAVI - Saison 2022/2023 - Bluevista;ARAVI - Saison 2022/2023;Suivez la Team ARAVI Racing durant la saison 2022/2023 des Championnats de France ! Bluevista réalise tous les résumés des courses !;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/aravi-saison-2022-2023/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/;0;Découvrez les actualités de l'agence vidéo - Bluevista;Découvrez les actualités de l'agence vidéo;Découvrez les actualités vidéo de Bluevista les plus récentes : Animation 3D, videomapping, Live Streaming et plus !;Découvrez les actualités vidéo de Bluevista les plus récentes : Animation 3D, videomapping, Live Streaming et plus !;https://www.bluevistaprod.com/actualites/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/sport-boules-16eme-trophee-emile-terrier/;0;Sport Boules : 16ème Trophée Émile Terrier - Bluevista;Sport Boules : 16ème Trophée Émile Terrier;Suivez le 16ème Trophée Émile Terrier de Sport Boules en direct grâce à la captation et rediffusion de Bluevista !;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/sport-boules-16eme-trophee-emile-terrier/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/show-reel-motion-design/;0;Show reel Motion Design - Bluevista;Show reel Motion Design;Découvrez les possibilités infinies du motion design grâce à notre vidéo démo contenant des extraits de nos réalisations !;Découvrez les possibilités infinies du motion design grâce à notre vidéo démo contenant des extraits de nos réalisations !;https://www.bluevistaprod.com/actualites/show-reel-motion-design/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/bluevista-video-showreel-2020/;0;Bluevista vidéo Showreel 2020 - Bluevista;Bluevista vidéo Showreel 2020;Découvrez le showreel 2020 de bluevista ! Animation 2D et 3D, drone, tournage, motion design, film technique en 3D et bien plus à voir !;Découvrez le showreel 2020 de bluevista ! Animation 2D et 3D, drone, tournage, motion design, film technique en 3D et bien plus à voir !;https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2020/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/peninsula-octobre-rose/;0;Peninsula : Octobre Rose - Bluevista;Peninsula : Octobre Rose;The Peninsula Paris et l'association Europa Donna France pour Octobre Rose 2022. Un mapping et une scénographie lumineuse exceptionnelle.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/peninsula-octobre-rose/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/nos-dernieres-interviews/;0;Nos dernières interviews - Bluevista;Nos dernières interviews;Bluevista: préstataire technique pour vos reportages et interviews. Des interviews dynamiques et de qualité.;Bluevista: préstataire technique pour vos reportages et interviews. Des interviews dynamiques et de qualité.;https://www.bluevistaprod.com/actualites/nos-dernieres-interviews/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/equita-lyon-dailynews/;0;Equita Lyon : Dailynews - Bluevista;Equita Lyon : Dailynews;Bluevista accompagne GL Events audiovisual chaque année pour Equita Lyon en diffusant 6 vidéos “dailynews”.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/equita-lyon-dailynews/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;0;GETLIVE TV 3.0 – La web TV selon Bluevista - Bluevista;GETLIVE TV 3.0 – La web TV selon Bluevista;;GETLIVE TV 3.0 – La web TV selon Bluevista Notre équipe de développement multimédia travaille actuellement à l’évolution de notre système de web TV pour permettre aux internautes et au public d’interagir avec le déroulement de l’évènement. Parmi les fonctionnalités : Questions de la salle et d’internet en direct sur écran / ipad du présentateur (via modérateur) […];https://www.bluevistaprod.com/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/;0;bluevista creative | vidéo « Un monde virtuel #1 : la moto » - Bluevista;bluevista creative | vidéo « Un monde virtuel #1 : la moto »;Bluevista répond à toutes vos questions « réalité virtuelle humour » avec sa création à 360°. Suivez Jérôme et ses aventures !;Bluevista répond à toutes vos questions « réalité virtuelle humour » avec sa création à 360°. Suivez Jérôme et ses aventures !;https://www.bluevistaprod.com/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/decouvrez-notre-nouvelle-bande-demo-3d/;0;Découvrez notre nouvelle bande démo 3D - Bluevista;Découvrez notre nouvelle bande démo 3D;Notre expérience dans le film d'entreprise ! Animations, décors et effets spéciaux 3D de haute qualité pour vos films.;Notre expérience dans le film d'entreprise ! Animations, décors et effets spéciaux 3D de haute qualité pour vos films.;https://www.bluevistaprod.com/actualites/decouvrez-notre-nouvelle-bande-demo-3d/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/;0;bluevista creative | vidéo « Une vraie équipe #3 – la productivité » - Bluevista;bluevista creative | vidéo « Une vraie équipe #3 – la productivité »;Un tournage en intérieur et en extérieur par une équipe spécialisée ? C'est possible grâce à bluevista ! #équipevidéoconseil;Un tournage en intérieur et en extérieur par une équipe spécialisée ? C'est possible grâce à bluevista ! #équipevidéoconseil;https://www.bluevistaprod.com/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/realisation-de-film-dentreprise-ou-corporate/;0;Réalisation de film d'entreprise ou corporate - Bluevista;Réalisation de film d'entreprise ou corporate;Une Réalisation complète de film corporate de 1 à 5 minutes, faite de manière professionnelle? bluevista est là pour vous!;Une Réalisation complète de film corporate de 1 à 5 minutes, faite de manière professionnelle? bluevista est là pour vous!;https://www.bluevistaprod.com/actualites/realisation-de-film-dentreprise-ou-corporate/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/nouveau-materiel-motion-control-kessler/;0;Nouveau matériel – Motion control Kessler - Bluevista;Nouveau matériel – Motion control Kessler;Nouveauté chez Bluevista : le matériel vidéo technique motion control Kessler second shooter. Un outil ultra-polyvalent aux nombreuses possibilités créatives.;Nouveauté chez Bluevista : le matériel vidéo technique motion control Kessler second shooter. Un outil ultra-polyvalent aux nombreuses possibilités créatives.;https://www.bluevistaprod.com/actualites/nouveau-materiel-motion-control-kessler/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/live-video-homeserve-20ans/;0;Live streaming des 20 ans Homeserve - Bluevista;Live streaming des 20 ans Homeserve;Célébrez les 20 ans de HomeServe France avec le live streaming de Bluevista ! Découvrez comment nous avons intégré une régie complète.;Célébrez les 20 ans de HomeServe France avec le live streaming de Bluevista ! Découvrez comment nous avons intégré une régie complète.;https://www.bluevistaprod.com/actualites/live-video-homeserve-20ans/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/streaming-live-et-webtv-demo-2018/;0;Streaming Live et WebTV démo 2018 - Bluevista;Streaming Live et WebTV démo 2018;Votre évènement ou votre message audiovisuel à la portée de tous grâce aux services de streaming live et webTV de Bluevista.;Votre évènement ou votre message audiovisuel à la portée de tous grâce aux services de streaming live et webTV de Bluevista.;https://www.bluevistaprod.com/actualites/streaming-live-et-webtv-demo-2018/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/;0;Série de 6 vidéos promotionnelles pour les produits ABB SNK - Bluevista;Série de 6 vidéos promotionnelles pour les produits ABB SNK;Démonstration de produits ABB SNK réalisée en studio par l'agence ADP. Équipez-vous ! De l'humour garanti.;Démonstration de produits ABB SNK réalisée en studio par l'agence ADP. Équipez-vous ! De l'humour garanti.;https://www.bluevistaprod.com/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/un-motion-design-a-lancienne-making-of/;0;Un motion design « à l’ancienne » – Making of - Bluevista;Un motion design « à l’ancienne » – Making of;Un making of de motion design : notre équipe vous montre les coulisses de ce tournage avec une technique vidéo ancienne mais très efficace.;Un making of de motion design : notre équipe vous montre les coulisses de ce tournage avec une technique vidéo ancienne mais très efficace.;https://www.bluevistaprod.com/actualites/un-motion-design-a-lancienne-making-of/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/bluevista-creative-unicorn-team/;0;bluevista creative | « Unicorn Team » - Bluevista;bluevista creative | « Unicorn Team »;Bluevista vous accompagne dans la création de contenu pour vos films d'entreprise grâce à notre équipe spécialisée en Motion Design.;Bluevista vous accompagne dans la création de contenu pour vos films d'entreprise grâce à notre équipe spécialisée en Motion Design.;https://www.bluevistaprod.com/actualites/bluevista-creative-unicorn-team/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/clip-corporate-bos-equipement/;0;Clip Corporate BOS Equipement - Bluevista;Clip Corporate BOS Equipement;BOS Equipement présente son clip corporate réalisé sur 3 lieux pour l'aménagement professionnel. Voir le clip sur Vimeo !;BOS Equipement présente son clip corporate réalisé sur 3 lieux pour l'aménagement professionnel. Voir le clip sur Vimeo !;https://www.bluevistaprod.com/actualites/clip-corporate-bos-equipement/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/la-realite-virtuelle-oculus-a-bluevista/;0;La réalité virtuelle Oculus à Bluevista - Bluevista;La réalité virtuelle Oculus à Bluevista;Découvrez la technologie Oculus avec Bluevista depuis 2014 avec des expériences immersives à 360° ! Avec des lunettes de réalité virtuelle.;Découvrez la technologie Oculus avec Bluevista depuis 2014 avec des expériences immersives à 360° ! Avec des lunettes de réalité virtuelle.;https://www.bluevistaprod.com/actualites/la-realite-virtuelle-oculus-a-bluevista/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/artcurial-20ans/;0;Artcurial : Mapping 20ans - Bluevista;Artcurial : Mapping 20ans;Découvrez notre mapping vidéo pour les 20 ans d'Artcurial : une célébration lumineuse à la foire internationale d'art contemporain.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/artcurial-20ans/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/;0;Réalisation de 3 clips produit en studio pour la société RISO - Bluevista;Réalisation de 3 clips produit en studio pour la société RISO;Découvrez ici les vidéos produit de Riso France réalisées par Bluevista et déclinées en Francais, Anglais et Néerlandais sur Vimeo!;Découvrez ici les vidéos produit de Riso France réalisées par Bluevista et déclinées en Francais, Anglais et Néerlandais sur Vimeo!;https://www.bluevistaprod.com/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/film-de-presentation-produit/;0;Film de présentation produit - Bluevista;Film de présentation produit;Vous cherchez à faire un film pour accompagner le lancement de votre produit ? les arguments clés et la simplicité d'utilisation en un film;Vous cherchez à faire un film pour accompagner le lancement de votre produit ? les arguments clés et la simplicité d'utilisation en un film;https://www.bluevistaprod.com/actualites/film-de-presentation-produit/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/mecenat-club-lyon-la-duchere/;0;Mécénat : Club Lyon La Duchère - Bluevista;Mécénat : Club Lyon La Duchère;Explorez les Chemins de la Liberté du Parc Naturel Régional du Vercors et découvrez les lieux de mémoire de la Résistance Française.;Suivez le festival Guitare en Scène 2022 grâce à Bluevista et découvrez toute l'ambiance dans les récaps de chaque journée !;https://www.bluevistaprod.com/actualites/mecenat-club-lyon-la-duchere/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/tournage-en-studio-film-produit-santos/;0;Tournage en studio – Film produit Santos - Bluevista;Tournage en studio – Film produit Santos;Découvrez le film publicitaire produit de Santos démontrant la simplicité d'utilisation et la qualité des matériaux de sa centrifugeuse #65 !;Découvrez le film publicitaire produit de Santos démontrant la simplicité d'utilisation et la qualité des matériaux de sa centrifugeuse #65 !;https://www.bluevistaprod.com/actualites/tournage-en-studio-film-produit-santos/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/;0;Un tournage en préparation dans le Parc Naturel Régional du Vercors - Bluevista;Un tournage en préparation dans le Parc Naturel Régional du Vercors;Toute une organisation avant le tournage d'un projet d'ampleur pour le Parc Naturel du Vercors. Repérage des sites de tournage, préparation.;Toute une organisation avant le tournage d'un projet d'ampleur pour le Parc Naturel du Vercors. Repérage des sites de tournage, préparation.;https://www.bluevistaprod.com/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/;index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1
