ancienne_url;titre;date;clics_12m;impressions_12m;classe;cible;cible_existe;confiance;preuve
/actualites/la-realite-virtuelle-oculus-a-bluevista/;La réalité virtuelle Oculus à Bluevista;2014-03-28;0;7;ARTICLE — reste une actualité;;;sûr;Arrivée d’un matériel, R&D interne. Lien sortant = oculus.com, un fournisseur.
/actualites/film-de-presentation-produit/;Film de présentation produit;2018-12-03;0;4;ARTICLE — reste une actualité;;;sûr;Argumentaire film produit.
/actualites/mecenat-club-lyon-la-duchere/;Mécénat : Club Lyon La Duchère;2023-12-25;0;3;ARTICLE — reste une actualité;;;sûr;Mécénat, pas une commande client.
/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/;Un tournage en préparation dans le Parc Naturel Régional du Vercors;2015-05-18;0;3;ARTICLE — reste une actualité;;;à confirmer;Coulisses de repérage. ⚠️ C’est la préparation du projet PNR Vercors, qui a sa fiche.
/actualites/show-reel-videos-drone/;Show reel vidéos drone;2018-11-22;0;2;ARTICLE — reste une actualité;;;sûr;Showreel + argumentaire drone.
/actualites/film-dentreprise-video-15-ans-dexperience/;Film d’entreprise – vidéo 15 ans d’expérience;2020-03-25;0;1;ARTICLE — reste une actualité;;;sûr;Argumentaire agence, 15 ans d’expérience.
/actualites/motion-design-pedagogique/;Motion Design pédagogique;2019-03-01;0;1;ARTICLE — reste une actualité;;;sûr;Argumentaire motion design pédagogique.
/actualites/timelapse-de-tournage-en-studio/;Timelapse de tournage en studio;2015-05-02;0;0;ARTICLE — reste une actualité;;;sûr;Coulisses de studio. Aucun client.
/actualites/premier-vol-drone/;Notre premier vol de drone, c’était en 2012 !;2012-01-31;0;0;ARTICLE — reste une actualité;;;sûr;Histoire de l’agence et réglementation drone. Aucun client.
/actualites/stann/;STANN.;2024-02-05;0;7563;RÉALISATION — fiche déjà au portfolio;/realisations/stann-presentation-video-de-l-application/;oui;sûr;Client STANN. ⚠️ Une 2e fiche « stann » existe, fabriquée depuis cet article : à supprimer.
/actualites/aravi-saison-2022-2023/;ARAVI – Saison 2022/2023;2023-12-04;0;856;RÉALISATION — fiche déjà au portfolio;/realisations/aravi-saison-2022-2023-reportages-video/;oui;sûr;Client ARAVI Racing, saison 2022/2023.
/actualites/koesio-carte-de-voeux-2023/;Koesio – Carte de voeux 2023;2023-10-30;2;762;RÉALISATION — fiche déjà au portfolio;/realisations/koesio-carte-de-v-ux-video-2023/;oui;sûr;Client KOESIO, millésime 2023.
/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/;Motion design 3D et mapping à Paris au Musée Rodin;2019-02-05;9;705;RÉALISATION — fiche déjà au portfolio;/realisations/40-ans-siparex-videomapping/;oui;sûr;"⭐ Le texte le dit : « retenus par l’agence Thera Conseil pour les 40 ans de Siparex ». Le mapping a eu lieu AU musée Rodin ; le client est Siparex."
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;Vidéo mapping Lyon – InterContinental Grand Hôtel Dieu;2019-12-26;8;617;RÉALISATION — fiche déjà au portfolio;/realisations/tetro-grand-hotel-dieu-video-event/;oui;sûr;Même projet que l’article « Inauguration InterContinental » — deux articles, une réalisation.
/actualites/guitare-en-scene-2023/;Guitare en Scène 2023;2023-11-20;2;542;RÉALISATION — fiche déjà au portfolio;/realisations/guitare-en-scene-edition-2023-video-evenement/;oui;sûr;Édition 2023.
/actualites/realisation-immersion-360-degres-dameuse-pisten-bully/;Réalisation immersion 360 degrés dameuse Pisten Bully;2016-05-06;2;308;RÉALISATION — fiche déjà au portfolio;/realisations/pisten-bully-dameuse-video-360-vr/;oui;sûr;Client Pisten Bully.
/actualites/animation-3d-produit-hitachi-csnet-manager/;Animation 3D produit HITACHI CSNet manager;2018-10-31;1;305;RÉALISATION — fiche déjà au portfolio;/realisations/hitachi-cs-net-video-3d/;oui;à confirmer;Client Hitachi. ⚠️ Le titre dit CSNet, mais l’article lie /realisations/hitachi-yutaki/.
/actualites/mase-4-motions/;MASE Rhône Alpes : Motions;2024-01-22;1;302;RÉALISATION — fiche déjà au portfolio;/realisations/mase-rhone-alpes-motion-design/;oui;sûr;Client MASE. ⚠️ Une 2e fiche « mase-4-motions » existe, fabriquée depuis cet article : à supprimer.
/actualites/mapping-printemps-lyon/;Printemps Lyon : Changement de marque;2022-08-24;1;274;RÉALISATION — fiche déjà au portfolio;/realisations/printemps-video-mapping/;oui;à confirmer;Client Printemps. ⚠️ L’article couvre le mapping ET l’aftermovie « nouvelle identité » — deux fiches existent.
/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;Inauguration InterContinental Lyon – Grand Hôtel-Dieu;2019-11-26;1;200;RÉALISATION — fiche déjà au portfolio;/realisations/tetro-grand-hotel-dieu-video-event/;oui;sûr;Client TETRO, lien vers tetro.fr.
/actualites/50ans-de-lpa-une-histoire-lyonnaise/;50ans de LPA, une histoire Lyonnaise;2019-10-24;3;183;RÉALISATION — fiche déjà au portfolio;/realisations/lpa-50ans-video-anniversaire/;oui;sûr;Client Lyon Parc Auto, lien vers lpa.fr.
/actualites/vercors-les-chemins-de-la-liberte/;VERCORS : LES CHEMINS DE LA LIBERTE;2023-12-11;1;121;RÉALISATION — fiche déjà au portfolio;/realisations/pnr-vercors-les-chemins-de-la-liberte-la-cabane-des-carteaux/;oui;sûr;Client Parc Naturel Régional du Vercors.
/actualites/santos-i-grind/;SANTOS I-GRIND : Le Moulin à Café;2023-11-06;1;61;RÉALISATION — fiche déjà au portfolio;/realisations/santos-i-grind-coffee-grinder-reveal/;oui;à confirmer;Client Santos. ⚠️ L’article couvre 2 vidéos : Reveal ET Teaser. Laquelle ?
/actualites/equita-lyon-dailynews/;Equita Lyon : Dailynews;2023-12-18;0;39;RÉALISATION — fiche déjà au portfolio;/realisations/gl-events-equita-lyon-dailynews-2023/;oui;à confirmer;Client GL Events. ⚠️ Millésime non précisé dans l’article.
/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/;bluevista creative | vidéo « Un monde virtuel #1 : la moto »;2020-06-25;0;37;RÉALISATION — fiche déjà au portfolio;/realisations/bluevista-creative-un-monde-virtuel-1-la-moto/;oui;sûr;L’article lie lui-même sa réalisation.
/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/;bluevista creative | vidéo « Une vraie équipe #3 – la productivité »;2020-05-28;0;22;RÉALISATION — fiche déjà au portfolio;/realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/;oui;sûr;L’article lie lui-même sa réalisation.
/actualites/bluevista-creative-unicorn-team/;bluevista creative | « Unicorn Team »;2020-06-04;0;9;RÉALISATION — fiche déjà au portfolio;/realisations/bluevista-creative-unicorn-team/;oui;sûr;L’article lie lui-même sa réalisation.
/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/;Série de 6 vidéos promotionnelles pour les produits ABB SNK;2016-04-30;0;9;RÉALISATION — fiche déjà au portfolio;/realisations/abb-af-contactor-film-produit/;oui;à trancher;Client ABB low voltage via ADP Promo, 6 vidéos en studio avec 2 acteurs. ⚠️ Les fiches ABB SNK du portfolio sont des animations 3D — pas le même projet.
/actualites/clip-corporate-bos-equipement/;Clip Corporate BOS Equipement;2015-04-23;0;6;RÉALISATION — fiche déjà au portfolio;/realisations/bos-equipement-video-corporate/;oui;sûr;Client BOS Equipement.
/actualites/artcurial-20ans/;Artcurial : Mapping 20ans;2024-01-01;0;5;RÉALISATION — fiche déjà au portfolio;/realisations/artcurial-video-mapping/;oui;sûr;Client Artcurial. ⚠️ Une 2e fiche « artcurial-20ans » existe, fabriquée depuis cet article : à supprimer.
/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/;Réalisation de 3 clips produit en studio pour la société RISO;2015-05-12;0;5;RÉALISATION — fiche déjà au portfolio;/realisations/riso-comcolor-video-produit/;oui;à confirmer;Client RISO France via l’agence TBWA. 3 clips de démonstration — est-ce la gamme Comcolor ?
/actualites/tournage-en-studio-film-produit-santos/;Tournage en studio – Film produit Santos;2020-03-18;0;3;RÉALISATION — fiche déjà au portfolio;/realisations/santos-film-produit/;oui;à confirmer;Client Santos, centrifugeuse #65. ⚠️ Ou « SANTOS Blender 66 » ?
/actualites/bluevista-creative-video-une-vraie-equipe-2-la-diversite/;bluevista creative | vidéo « Une vraie équipe #2 – la diversité »;2020-05-21;0;2;RÉALISATION — fiche déjà au portfolio;/realisations/bluevista-creative-une-vraie-equipe-2-la-diversite/;oui;sûr;L’article lie lui-même sa réalisation.
/actualites/bluevista-creative-video-une-vraie-equipe-1-la-flexibilite/;bluevista creative | vidéo « Une vraie équipe #1 – la flexibilité »;2020-05-14;0;2;RÉALISATION — fiche déjà au portfolio;/realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/;oui;sûr;L’article lie lui-même sa réalisation.
/actualites/equita-lyon-2019-daily-news/;Equita Lyon 2019 – daily news;2019-11-26;0;2;RÉALISATION — fiche déjà au portfolio;/realisations/gl-events-equita-lyon-dailynews-2023/;oui;à confirmer;Client GL Events. ⚠️ Aucune fiche pour le millésime 2019.
/actualites/bluevista-creative-la-pizza/;bluevista creative | « La Pizza »;2020-05-05;0;1;RÉALISATION — fiche déjà au portfolio;/realisations/bluevista-creative-video-la-pizza/;oui;sûr;L’article lie lui-même /nos-realisations/bluevista-creative-la-pizza/.
/actualites/guitare-en-scene-2022/;Guitare en Scène 2022;2023-06-29;0;0;RÉALISATION — fiche déjà au portfolio;/realisations/guitare-en-scene-edition-2022-reportage-video-event/;oui;sûr;Édition 2022.
/actualites/after-movie-fubiz-talks-2018/;After Movie Fubiz Talks 2018;2018-11-07;0;0;RÉALISATION — fiche déjà au portfolio;/realisations/tetro-aftermovie-fubiztalks-2017/;oui;à confirmer;Client TETRO/Fubiz. ⚠️ La fiche porte 2017, l’article 2018.
/actualites/video-et-site-web-funseaker-yacht/;Vidéo et site web – Funseaker Yacht;2014-01-05;0;0;RÉALISATION — fiche déjà au portfolio;/realisations/funseaker-presentation/;oui;à confirmer;Client Funseaker. Même projet que « FUNSEAKER - Présentation » ?
/actualites/animation-3d-grande-arche-de-la-defense/;Animation 3D Technique explicative pour les travaux de rénovation de la Grande Arche de la Défense;2015-05-21;7;332;RÉALISATION — fiche à créer;;;à trancher;Projet Grande Arche de la Défense. Aucune fiche au portfolio.
/actualites/sport-boules-16eme-trophee-emile-terrier/;Sport Boules : 16ème Trophée Émile Terrier;2023-11-27;0;225;RÉALISATION — fiche à créer;;;à trancher;Client Trophée Émile Terrier. Aucune fiche au portfolio.
/actualites/showroom-virtuel-gf-machining-solutions/;Showroom Virtuel GF Machining Solutions;2024-01-08;2;200;RÉALISATION — fiche à créer;;;à trancher;⭐ Client GF Machining Solutions. Aucune fiche. Nourrit la page suisse « showroom virtuel ». ⛔ La fiche ENSTO revendique cette adresse à tort.
/actualites/barpi-prevention-accidents/;BARPI : Prévention d’accidents industriels;2024-01-29;3;197;RÉALISATION — fiche à créer;;;à trancher;Client BARPI, 5 ans de collaboration. Aucune fiche au portfolio.
/actualites/peninsula-octobre-rose/;Peninsula : Octobre Rose;2023-10-23;0;94;RÉALISATION — fiche à créer;;;à trancher;Client The Peninsula Paris. Aucune fiche au portfolio.
/actualites/live-video-homeserve-20ans/;Live Vidéo HomeServe – 20ans;2021-06-01;0;12;RÉALISATION — fiche à créer;;;à trancher;« Client : HomeServe » écrit dans l’article. Aucune fiche au portfolio.
/actualites/projection-semi-transparente-immersive-pour-linauguration-dun-batiment/;Projection semi-transparente immersive pour l’inauguration d’un bâtiment;2014-12-07;0;3;RÉALISATION — fiche à créer;;;à trancher;Client Quechua/Simond/Wed’ze via l’agence Ores. Aucune fiche au portfolio.
/actualites/social-wall-pour-espace-vip/;Social wall pour espace VIP;2018-11-09;0;0;RÉALISATION — fiche à créer;;;à trancher;Tweetwall au salon Equita Longines Lyon. Aucune fiche au portfolio.
